,datetime,type,site,hf,lf,cf,df,pf,dt,snr,ip,sig_segm,sf,ef,ff,df_cc,pf_cc,cf_cc,f5_cc,f25_cc,f75_cc,f95_cc,lf_cc,hf_cc
1,2021-08-03 17:21,A-0008,F,2326.531,1102.041,1968.75,1224.49,1218.75,2.88385708,19.91,0,1,2.29,1.32,2.29,94781.726,1218.75,3093.75,187.5,1781.25,38250,69375,0,94781.726
2,2021-08-03 17:21,A-0008,F,2571.429,1714.286,2250,857.143,2062.5,2.855767563,22.52,0,1,2.3,2.3,2.3,95793.227,2062.5,2343.75,562.5,2156.25,35062.5,68718.75,0,95793.227
3,2021-08-03 17:21,A-0008,F,2204.082,1591.837,1968.75,612.245,1781.25,2.284614051,19.86,0,1,2.07,2.07,2.07,94759.487,1781.25,2062.5,187.5,1781.25,21375,56062.5,0,94759.487
4,2021-08-03 17:22,A-0008,F,2448.98,1836.735,2156.25,612.245,2062.5,2.574872393,18.77,0,1,2.07,2.07,2.07,96000,2062.5,2343.75,187.5,2062.5,39281.25,67593.75,0,96000
5,2021-07-28 13:26,A-0009,F,4897.959,4408.163,4781.25,489.796,4781.25,1.44192854,14.81,0,1,4.76,4.76,4.76,95655.42,375,15187.5,468.75,4781.25,24187.5,48281.25,344.58,96000
6,2021-07-28 13:26,A-0009,F,5510.204,4653.061,5156.25,857.143,5156.25,1.619828815,17.41,0,1,5.01,5.01,5.01,95655.42,375,15187.5,468.75,4781.25,24187.5,48281.25,344.58,96000
7,2021-07-28 13:30,A-0009,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95104.067,9000,25781.25,10031.25,18093.75,39562.5,61687.5,0,95104.067
8,2021-07-28 13:30,A-0009,F,5265.306,4775.51,5062.5,489.796,5156.25,1.554286608,15.04,0,1,5.01,5.01,5.01,95793.227,187.5,21468.75,843.75,12375,29343.75,60750,0,95793.227
9,2021-08-05 18:37,A-0010,F,5142.857,1346.939,3656.25,3795.918,4687.5,1.825818606,16.44,0,1,1.61,1.61,1.61,95793.227,93.75,8906.25,93.75,1500,36750,71062.5,0,95793.227
10,2021-08-05 18:37,A-0010,F,5632.653,1469.388,4031.25,4163.265,1687.5,2.031808398,17.05,0,1,1.61,1.61,1.61,95793.227,93.75,5343.75,93.75,1312.5,34218.75,74625,0,95793.227
11,2021-08-05 18:37,A-0010,F,5510.204,1469.388,3843.75,4040.816,5062.5,2.022445225,14.18,0,1,1.61,1.61,1.61,95104.067,93.75,8812.5,93.75,1125,33187.5,70031.25,0,95104.067
12,2021-07-28 13:31,A-0012,F,5755.102,3306.122,4781.25,2448.98,3750,1.385749507,16.74,0,1,3.81,3.81,3.81,95448.647,562.5,5625,187.5,1125,16125,46312.5,0,95448.647
13,2021-07-28 13:31,A-0012,F,5265.306,3061.224,3750,2204.082,3562.5,0.646058892,16.14,0,1,5.42,5.42,5.42,95793.227,187.5,3750,93.75,375,12093.75,39656.25,0,95793.227
14,2021-07-28 13:31,A-0012,F,5510.204,3061.224,4781.25,2448.98,4875,1.432565368,17.98,0,1,5.42,5.42,5.42,94759.487,187.5,29625,750,12468.75,44343.75,72562.5,0,94759.487
15,2021-07-28 13:31,A-0012,F,5265.306,2816.327,3843.75,2448.979,3281.25,1.488744402,15.66,0,1,5.2,5.2,5.2,96000,187.5,19031.25,375,11343.75,30000,49500,0,96000
16,2021-07-28 13:31,A-0012,F,5265.306,2938.776,3937.5,2326.53,3375,1.413839023,14.12,0,1,5.2,5.2,5.2,96000,281.25,15468.75,187.5,5156.25,25875,57937.5,0,96000
17,2021-07-28 13:31,A-0012,F,5020.408,3061.224,3750,1959.184,3281.25,1.395112679,15.71,0,1,5.2,5.2,5.2,95793.227,3281.25,12093.75,187.5,4031.25,28312.5,58781.25,0,95793.227
